,x,y,z,nx,ny,nz,red,green,blue,alpha,inclination_deg,orientation_deg,e1(26),e2(26),e3(26),eigenentropy(26),eigen_sum(26),anisotropy(26),curvature(26),linearity(26),omnivariance(26),planarity(26),sphericity(26)
count,26405.0,26405.0,26405.0,26405.0,26405.0,26405.0,26405.0,26405.0,26405.0,26405.0,26405.0,26405.0,26405.0,26405.0,26405.0,26405.0,26405.0,26405.0,26405.0,26405.0,26405.0,26405.0,26405.0
mean,-2.078725576400757,1.0957263708114624,0.22820128500461578,0.03752902150154114,-0.019234824925661087,-0.13276901841163635,144.4418102632077,129.3675440257527,117.27653853436848,255.0,98.78716278076172,172.92620849609375,0.002062981715425849,0.0010552399326115847,0.0002660108730196953,0.021105295105786882,0.003384217619895935,0.8630496859550476,0.07674112170934677,0.4084569215774536,0.0007843162165954709,0.4545939564704895,0.1369519829750061
std,0.29981285333633423,1.6385403871536255,0.7032477855682373,0.6902148723602295,0.4274444580078125,0.5670310258865356,30.459892047361922,34.18222795281397,36.577245543059576,0.0,38.524497985839844,95.1169662475586,0.0024049286730587482,0.0009423833107575774,0.00044181232806295156,0.015616849685533616,0.003585685510188341,0.09345399588346481,0.04490473493933678,0.18545286357402802,0.0008815883775241673,0.19159814715385437,0.09345391392707825
min,-2.803260087966919,-1.636970043182373,-2.9587199687957764,-0.9999709725379944,-0.9995200037956238,-0.9998999834060669,24.0,24.0,23.0,255.0,0.7338204979896545,0.04022335633635521,0.0002609809744171798,0.00017029832815751433,6.521292107208865e-06,0.004592943616444245,0.0005451210890896618,0.16935443878173828,0.0032699620351195335,0.005775175988674164,0.0001385826908517629,0.0023082965053617954,0.004711974877864122
25%,-2.32463002204895,-0.2430420070886612,-0.19180400669574738,-0.6713359951972961,-0.3137800097465515,-0.6364319920539856,130.0,107.0,93.0,255.0,71.51380920410156,88.0608901977539,0.0010249920887872577,0.0006214231834746897,0.00010263933654641733,0.013136617373675108,0.0018364901188760996,0.8288651704788208,0.04487064853310585,0.2674728035926819,0.00041899472125805914,0.30962032079696655,0.07351478934288025
50%,-2.090480089187622,0.791329026222229,0.19643299281597137,0.1796959936618805,-0.029878800734877586,-0.1957239955663681,147.0,126.0,113.0,255.0,101.28701782226562,149.85984802246094,0.0014362991787493229,0.0008474579080939293,0.00016131902521010488,0.017075745156034827,0.002495882799848914,0.8876619338989258,0.06601966172456741,0.39782118797302246,0.0005775814643129706,0.458173930644989,0.1123381033539772
75%,-1.829800009727478,2.169529914855957,0.6832519769668579,0.6871060132980347,0.2786650061607361,0.3170759975910187,163.0,152.0,139.0,255.0,129.52626037597656,264.0149230957031,0.002234653802588582,0.0011601236183196306,0.0002798796631395817,0.023485228419303894,0.0036420023534446955,0.9264852404594421,0.09779103100299835,0.5407508015632629,0.0008338412153534591,0.6003260016441345,0.1711348593235016
max,-1.207110047340393,5.187419891357422,3.716330051422119,0.9999549984931946,0.9414839744567871,0.9999179840087891,230.0,241.0,246.0,255.0,179.18963623046875,359.9440002441406,0.04308731481432915,0.018966246396303177,0.011379667557775974,0.23279546573758125,0.0628867819905281,0.9952880144119263,0.29845696687698364,0.9433841109275818,0.017956428229808807,0.9596386551856995,0.8306455612182617
